session_id,host_timestamp,epc,antenna,read_count,reader_timestamp
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:9.872
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:9.952
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:9.996
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.034
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.073
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.115
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.153
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.194
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.233
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.249
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.290
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.328
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.369
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.408
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.447
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.486
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.504
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.542
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.584
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.623
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.803
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.831
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.873
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.911
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.950
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:10.989
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.013
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.053
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.091
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.130
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.504
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.524
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.564
20260411_123808,2026-04-11T12:38:12.020,E28068900000000165E588A9,1,1,2026-4-11T12:38:11.602
